Stamp, X, Y, Z, Yaw
0, -4.87483e-07, -3.39844e-07, -0.0108511, 0.0177638
0.034, -6.11346e-07, -5.24841e-07, -0.00936701, 0.0177378
0.068, -8.16908e-07, -7.22477e-07, -0.00773743, 0.0176817
0.1, -1.1227e-06, -9.1082e-07, -0.00556296, 0.0176195
0.136, -1.42394e-06, -1.05655e-06, -0.0040678, 0.0175741
0.17, -1.67015e-06, -1.14941e-06, -0.00137063, 0.0174934
0.206, -1.78523e-06, -1.23195e-06, -0.00101548, 0.0174211
0.24, -1.74507e-06, -1.26431e-06, -0.000753044, 0.0173745
0.272, -1.60012e-06, -1.30978e-06, -0.00047462, 0.017283
0.306, -1.34066e-06, -1.27642e-06, -0.000567506, 0.017179
0.34, -9.30461e-07, -1.09853e-06, -0.00133221, 0.0171167
0.374, -2.51713e-07, -7.95986e-07, -0.00202347, 0.0170265
0.408, 3.63853e-07, -5.9051e-07, -0.00157385, 0.0169047
0.442, 1.46652e-06, -3.57856e-07, -0.00164819, 0.0168467
0.478, 2.60973e-06, -2.55368e-07, -0.00172946, 0.0167232
0.512, 3.92457e-06, -2.12927e-07, -0.00156673, 0.0165938
0.544, 5.52656e-06, -1.701e-07, -0.00121605, 0.0165268
0.582, 7.09022e-06, -1.17919e-07, -0.000813547, 0.0163795
0.616, 8.92526e-06, -1.36001e-07, -0.000481531, 0.0162471
0.652, 1.09522e-05, -4.22317e-07, -9.35084e-05, 0.0161627
0.786, 1.95212e-05, -2.25875e-06, 0.00205054, 0.0154764
0.82, 2.18421e-05, -2.8662e-06, 0.00256671, 0.0152608
0.856, 2.49735e-05, -3.7847e-06, 0.00315476, 0.0151612
0.89, 2.73428e-05, -4.63995e-06, 0.00347894, 0.014968
0.926, 2.99479e-05, -5.6042e-06, 0.00368335, 0.0147405
0.964, 3.28048e-05, -6.70727e-06, 0.00373502, 0.014605
1, 3.52598e-05, -7.51854e-06, 0.00337746, 0.0144341
1.034, 3.8315e-05, -8.48952e-06, 0.00322675, 0.0141999
1.072, 4.09931e-05, -9.30659e-06, 0.00373064, 0.0140799
1.106, 4.40313e-05, -1.00095e-05, 0.0041567, 0.0138404
1.142, 4.70217e-05, -1.05843e-05, 0.00428342, 0.0136185
1.18, 5.02241e-05, -1.12478e-05, 0.00416083, 0.013472
1.282, 5.88671e-05, -1.25883e-05, 0.00365574, 0.0127404
1.318, 6.09883e-05, -1.2803e-05, 0.00367238, 0.0124863
1.354, 6.48306e-05, -1.32286e-05, 0.00380079, 0.0122186
1.39, 6.79957e-05, -1.35406e-05, 0.00370902, 0.0121001
1.426, 7.07119e-05, -1.37186e-05, 0.00298294, 0.0118041
1.46, 7.41724e-05, -1.41539e-05, 0.00186094, 0.0114938
1.496, 7.69736e-05, -1.45073e-05, 0.000235689, 0.0113653
1.528, 7.9291e-05, -1.46826e-05, -0.00147604, 0.0110089
1.56, 8.21534e-05, -1.48143e-05, -0.00333819, 0.0106679
1.598, 8.52563e-05, -1.4947e-05, -0.00533861, 0.0104937
1.634, 8.75854e-05, -1.48725e-05, -0.00670593, 0.0101124
1.668, 9.13059e-05, -1.49531e-05, -0.00789314, 0.00976546
1.742, 9.58315e-05, -1.47321e-05, -0.0094602, 0.00922328
1.768, 9.82462e-05, -1.45328e-05, -0.00968206, 0.00883586
1.804, 0.000101438, -1.42657e-05, -0.0094637, 0.00862015
1.842, 0.000103837, -1.37636e-05, -0.00898449, 0.00820804
1.876, 0.000105605, -1.28453e-05, -0.0079273, 0.00776347
1.918, 0.000107068, -1.22301e-05, -0.00727654, 0.00755998
1.958, 0.000109368, -1.13618e-05, -0.00710323, 0.00715368
1.996, 0.000111954, -1.04817e-05, -0.00772819, 0.00671468
2.032, 0.000112173, -9.20628e-06, -0.00793189, 0.00646567
2.062, 0.000113258, -8.09711e-06, -0.00761303, 0.00593159
2.102, 0.000113818, -7.08074e-06, -0.00725316, 0.0054222
2.14, 0.000114589, -6.12607e-06, -0.0066616, 0.00506201
2.176, 0.000114488, -5.13032e-06, -0.00670348, 0.00447667
2.21, 0.000114196, -3.82327e-06, -0.00661497, 0.00384025
2.25, 0.000113795, -2.8113e-06, -0.00629878, 0.00352955
2.336, 0.000111114, -3.16255e-07, -0.00378066, 0.00215834
2.368, 0.00010976, -9.68179e-08, -0.00325814, 0.00157773
2.402, 0.000108948, -1.10852e-07, -0.00295038, 0.00107011
2.438, 0.000107915, -3.32587e-07, -0.00291703, 0.00080079
2.472, 0.00010662, -8.58974e-07, -0.00303181, 0.000318209
2.508, 0.000104344, -1.4501e-06, -0.00311296, -0.000130992
2.546, 0.000101736, -2.46102e-06, -0.00330417, -0.00034729
2.592, 9.9034e-05, -3.29333e-06, -0.00332306, -0.000798093
2.624, 9.77992e-05, -4.31927e-06, -0.00323626, -0.00110619
2.656, 9.42284e-05, -5.811e-06, -0.00292905, -0.00124122
2.692, 9.15134e-05, -7.24413e-06, -0.00324055, -0.00156188
2.728, 8.77842e-05, -8.60517e-06, -0.00328334, -0.0018698
2.76, 8.40756e-05, -1.0143e-05, -0.00332884, -0.00199995
2.796, 7.90941e-05, -1.21073e-05, -0.00341058, -0.00229279
2.83, 7.63155e-05, -1.35962e-05, -0.00345242, -0.00265576
2.862, 7.12677e-05, -1.63196e-05, -0.0037863, -0.00290215
2.898, 6.7024e-05, -1.86981e-05, -0.00424312, -0.00322803
3.014, 4.82991e-05, -2.82378e-05, -0.00475639, -0.00498876
3.05, 4.31225e-05, -3.07241e-05, -0.005081, -0.00530191
3.082, 3.78627e-05, -3.29481e-05, -0.0053587, -0.00597643
3.112, 3.24559e-05, -3.59965e-05, -0.00630669, -0.00653791
3.15, 2.71799e-05, -3.86109e-05, -0.00670041, -0.00684239
3.184, 2.20401e-05, -4.09824e-05, -0.00711169, -0.00744281
3.216, 1.58626e-05, -4.32495e-05, -0.00758012, -0.00804999
3.25, 1.09595e-05, -4.49963e-05, -0.00815353, -0.00827075
3.284, 5.37868e-06, -4.78958e-05, -0.00891483, -0.00866238
3.316, 2.4311e-07, -4.94669e-05, -0.00992292, -0.00918442
3.35, -4.97506e-06, -5.10065e-05, -0.0107368, -0.00947836
3.384, -9.96638e-06, -5.20139e-05, -0.0113514, -0.0100482
3.418, -1.44835e-05, -5.24111e-05, -0.0116671, -0.0105949
3.454, -2.02661e-05, -5.29012e-05, -0.0120862, -0.0108566
3.582, -3.80288e-05, -5.02993e-05, -0.015491, -0.012443
3.614, -4.26104e-05, -4.88025e-05, -0.016117, -0.0128425
3.646, -4.62412e-05, -4.73953e-05, -0.0165378, -0.0130083
3.674, -4.94483e-05, -4.56291e-05, -0.0170936, -0.0136042
3.706, -5.28389e-05, -4.43031e-05, -0.0170874, -0.014116
3.744, -5.65941e-05, -4.22146e-05, -0.0167239, -0.0144404
3.774, -6.02408e-05, -3.91911e-05, -0.0160147, -0.0150877
3.808, -6.28003e-05, -3.64379e-05, -0.0156383, -0.0156517
3.842, -6.57564e-05, -3.34107e-05, -0.0152655, -0.0159692
3.876, -6.85341e-05, -3.007e-05, -0.0146083, -0.0164636
3.904, 1.69348e-18, -3.40894e-34, -0.0138283, -0.0170022
3.938, 1.6777e-18, -3.37717e-34, -0.0136994, -0.0172973
3.97, 1.6756e-18, -3.37294e-34, -0.0136823, -0.0177993
4.002, 1.68109e-18, -3.38401e-34, -0.0137272, -0.0183367
4.084, 2.02749e-18, -4.0813e-34, -0.0165557, -0.0198114
4.118, 2.15383e-18, -4.33562e-34, -0.0175874, -0.0201133
4.154, 2.21904e-18, -4.46688e-34, -0.0181198, -0.0206279
4.184, 2.26555e-18, -4.5605e-34, -0.0184996, -0.0212057
4.218, 2.34448e-18, -4.7194e-34, -0.0191441, -0.0214883
4.246, 2.49435e-18, -5.02108e-34, -0.0203679, -0.0220068
4.278, 2.53297e-18, -5.09882e-34, -0.0206833, -0.0224992
4.308, 2.5455e-18, -5.12404e-34, -0.0207856, -0.0227566
4.342, 2.53777e-18, -5.10848e-34, -0.0207225, -0.0233776
4.378, 2.51248e-18, -5.05758e-34, -0.020516, -0.0235891
4.418, 2.43398e-18, -4.89956e-34, -0.019875, -0.0240329
4.448, 2.33794e-18, -4.70622e-34, -0.0190907, -0.0243929
4.482, 2.30199e-18, -4.63386e-34, -0.0187972, -0.0247137
4.602, 1.73754e-18, -3.49763e-34, -0.0141881, -0.0255589
4.636, 1.58219e-18, -3.18491e-34, -0.0129195, -0.025867
4.668, 1.44714e-18, -2.91307e-34, -0.0118168, -0.0261332
4.696, 1.28663e-18, -2.58996e-34, -0.0105061, -0.0262995
4.736, 1.09698e-18, -2.20821e-34, -0.00895756, -0.0266703
4.768, 9.47254e-19, -1.9068e-34, -0.00773492, -0.0271132
4.802, 8.12479e-19, -1.6355e-34, -0.0066344, -0.0273374
4.842, 6.70131e-19, -1.34896e-34, -0.00547203, -0.0277425
4.876, 5.31686e-19, -1.07027e-34, -0.00434155, -0.0282297
4.91, 4.43224e-19, -8.92201e-35, -0.0036192, -0.0285478
4.942, 4.19923e-19, -8.45296e-35, -0.00342893, -0.0289808
4.98, 4.48453e-19, -9.02728e-35, -0.0036619, -0.0296382
5.014, 4.8863e-19, -9.83603e-35, -0.00398997, -0.0299671
5.152, 4.48559e-19, -9.0294e-35, -0.00366276, -0.0319186
5.188, 3.73211e-19, -7.51266e-35, -0.0030475, -0.0323628
5.224, 2.56293e-19, -5.15913e-35, -0.00209279, -0.0325685
5.254, 1.45693e-19, -2.93277e-35, -0.00118967, -0.0329485
5.29, 9.77728e-20, -1.96815e-35, -0.000798375, -0.0334199
5.328, 5.16978e-20, -1.04067e-35, -0.000422145, -0.033657
5.362, 3.30639e-20, -6.65569e-36, -0.000269987, -0.0341456
5.398, 2.23332e-20, -4.49563e-36, -0.000182365, -0.0345881
5.432, 5.0069e-20, -1.00788e-35, -0.000408844, -0.0348324
5.468, 1.14759e-20, -2.31008e-36, -9.37079e-05, -0.0353996
5.502, -1.87916e-20, 3.7827e-36, 0.000153445, -0.0357284
5.538, -3.22773e-20, 6.49736e-36, 0.000263564, -0.0358584
5.668, -4.2282e-19, 8.51128e-35, 0.00345258, -0.0364607
5.704, -4.80282e-19, 9.66799e-35, 0.0039218, -0.0366211
5.742, -5.36292e-19, 1.07955e-34, 0.00437916, -0.0366942
5.772, -5.6688e-19, 1.14112e-34, 0.00462892, -0.0368834
5.812, -5.87657e-19, 1.18294e-34, 0.00479858, -0.0371435
5.846, -6.07613e-19, 1.22311e-34, 0.00496154, -0.037276
5.882, -6.25521e-19, 1.25916e-34, 0.00510777, -0.037649
5.918, -6.31358e-19, 1.27091e-34, 0.00515543, -0.0380477
5.954, -6.16987e-19, 1.24198e-34, 0.00503808, -0.0382961
5.988, -5.98331e-19, 1.20443e-34, 0.00488574, -0.0387266
6.024, -5.94274e-19, 1.19626e-34, 0.00485261, -0.0392578
6.06, -5.86966e-19, 1.18155e-34, 0.00479294, -0.0395925
6.192, -3.31923e-19, 6.68154e-35, 0.00271035, -0.0411355
6.228, -2.35202e-19, 4.73458e-35, 0.00192057, -0.0414798
6.266, -1.83711e-19, 3.69806e-35, 0.00150011, -0.0416429
6.3, -1.49658e-19, 3.01259e-35, 0.00122205, -0.0420136
6.338, -1.27975e-19, 2.57611e-35, 0.001045, -0.0424759
6.37, -4.18407e-20, 8.42246e-36, 0.000341656, -0.042705
6.406, 8.0411e-20, -1.61866e-35, -0.000656606, -0.0431431
6.44, 2.16656e-19, -4.36124e-35, -0.00176913, -0.043662
6.476, 3.63628e-19, -7.31975e-35, -0.00296925, -0.0439103
6.51, 4.61427e-19, -9.28843e-35, -0.00376783, -0.0442968
6.544, 5.89569e-19, -1.18679e-34, -0.0048142, -0.044766
6.58, 6.59557e-19, -1.32768e-34, -0.00538569, -0.0449027
6.612, 7.98316e-19, -1.607e-34, -0.00651875, -0.0452579
6.732, 1.29914e-18, -2.61514e-34, -0.0106083, -0.0459455
6.77, 1.45768e-18, -2.93427e-34, -0.0119028, -0.0461343
6.804, 1.60713e-18, -3.23512e-34, -0.0131232, -0.0463291
6.838, 1.74547e-18, -3.51361e-34, -0.0142529, -0.046483
6.872, 1.87689e-18, -3.77814e-34, -0.015326, -0.0465802
6.906, 1.952e-18, -3.92933e-34, -0.0159393, -0.0467798
6.944, 1.9749e-18, -3.97544e-34, -0.0161263, -0.046968
6.98, 1.9856e-18, -3.99698e-34, -0.0162137, -0.0470406
7.014, 1.99533e-18, -4.01657e-34, -0.0162931, -0.0472099
7.046, 1.97946e-18, -3.98461e-34, -0.0161635, -0.0474076
7.08, 1.95645e-18, -3.9383e-34, -0.0159757, -0.0474971
7.116, 1.96267e-18, -3.95082e-34, -0.0160264, -0.0476583
7.168, 2.08818e-18, -4.20347e-34, -0.0170513, -0.0478431
7.2, 2.1454e-18, -4.31865e-34, -0.0175185, -0.0480073
7.228, 2.17534e-18, -4.37892e-34, -0.017763, -0.0481866
7.268, 2.2414e-18, -4.5119e-34, -0.0183024, -0.0482982
7.302, 2.29931e-18, -4.62846e-34, -0.0187753, -0.0484804
7.338, 2.31828e-18, -4.66665e-34, -0.0189302, -0.048725
