Stamp, Min, Max, Current closest distance, Mean closest distance, Current closest router distance, Min altitude, Max altitude, Current closest altitude, Mean closest altitude
1.926, 1, 5, 0.95163, 0.95163, -1, -1, -1, 0.251553, 0.251553
2.004, 1, 5, 0.951325, 0.951477, -1, -1, -1, 0.251318, 0.251435
2.062, 1, 5, 0.951226, 0.951393, -1, -1, -1, 0.251231, 0.251367
2.072, 1, 5, 0.951116, 0.951324, -1, -1, -1, 0.251167, 0.251317
2.098, 1, 5, 0.951055, 0.95127, -1, -1, -1, 0.251149, 0.251283
2.136, 1, 5, 0.950999, 0.951225, -1, -1, -1, 0.251131, 0.251258
2.176, 1, 5, 0.950974, 0.951189, -1, -1, -1, 0.251105, 0.251236
2.212, 1, 5, 0.950949, 0.951159, -1, -1, -1, 0.251063, 0.251214
2.246, 1, 5, 0.950934, 0.951134, -1, -1, -1, 0.251016, 0.251192
2.282, 1, 5, 0.95092, 0.951113, -1, -1, -1, 0.250971, 0.25117
2.318, 1, 5, 0.95103, 0.951105, -1, -1, -1, 0.25105, 0.251159
2.352, 1, 5, 0.951173, 0.951111, -1, -1, -1, 0.251178, 0.251161
2.388, 1, 5, 0.951335, 0.951128, -1, -1, -1, 0.251327, 0.251174
2.424, 1, 5, 0.951444, 0.951151, -1, -1, -1, 0.251494, 0.251197
2.558, 1, 5, 0.865839, 0.936941, -1, -1, -1, 0.252031, 0.251336
2.592, 1, 5, 0.865882, 0.933201, -1, -1, -1, 0.25211, 0.251377
2.628, 1, 5, 0.865941, 0.929838, -1, -1, -1, 0.252205, 0.251418
2.662, 1, 5, 0.866003, 0.926799, -1, -1, -1, 0.252287, 0.25146
2.696, 1, 5, 0.866074, 0.924038, -1, -1, -1, 0.252408, 0.251503
2.73, 1, 5, 0.866169, 0.921522, -1, -1, -1, 0.252555, 0.251549
2.766, 1, 5, 0.866256, 0.91922, -1, -1, -1, 0.252695, 0.251596
2.8, 1, 5, 0.866318, 0.917104, -1, -1, -1, 0.252845, 0.251646
2.838, 1, 5, 0.866383, 0.915153, -1, -1, -1, 0.252983, 0.251698
2.874, 1, 5, 0.86645, 0.913349, -1, -1, -1, 0.253107, 0.25175
2.908, 1, 5, 0.866506, 0.911676, -1, -1, -1, 0.253141, 0.2518
2.942, 1, 5, 0.86654, 0.91012, -1, -1, -1, 0.253155, 0.251846
2.974, 1, 5, 0.86656, 0.908668, -1, -1, -1, 0.253179, 0.251891
3.01, 1, 5, 0.866596, 0.90731, -1, -1, -1, 0.253199, 0.251933
3.044, 1, 5, 0.866631, 0.906039, -1, -1, -1, 0.253219, 0.251973
3.138, 1, 5, 0.866547, 0.902658, -1, -1, -1, 0.253181, 0.252079
3.178, 1, 5, 0.866512, 0.901654, -1, -1, -1, 0.253164, 0.252109
3.212, 1, 5, 0.866499, 0.900704, -1, -1, -1, 0.253139, 0.252137
3.25, 1, 5, 0.866504, 0.899804, -1, -1, -1, 0.253105, 0.252162
3.286, 1, 5, 0.866503, 0.89895, -1, -1, -1, 0.253069, 0.252185
3.318, 1, 5, 0.866506, 0.898139, -1, -1, -1, 0.253048, 0.252207
3.35, 1, 5, 0.866459, 0.897366, -1, -1, -1, 0.252982, 0.252226
3.386, 1, 5, 0.866334, 0.896627, -1, -1, -1, 0.252824, 0.25224
3.42, 1, 5, 0.86612, 0.895918, -1, -1, -1, 0.25259, 0.252248
3.454, 1, 5, 0.86599, 0.895238, -1, -1, -1, 0.252396, 0.252251
3.49, 1, 5, 0.865827, 0.894584, -1, -1, -1, 0.252192, 0.25225
3.524, 1, 5, 0.865713, 0.893957, -1, -1, -1, 0.252036, 0.252246
3.56, 1, 5, 0.865582, 0.893353, -1, -1, -1, 0.251867, 0.252237
3.594, 1, 5, 0.865462, 0.892772, -1, -1, -1, 0.251697, 0.252226
3.63, 1, 5, 0.865328, 0.892212, -1, -1, -1, 0.251501, 0.252211
3.736, 1, 5, 0.865019, 0.890648, -1, -1, -1, 0.251107, 0.252154
3.774, 1, 5, 0.864956, 0.890164, -1, -1, -1, 0.251073, 0.252134
3.808, 1, 5, 0.86491, 0.889696, -1, -1, -1, 0.251034, 0.252113
3.844, 1, 5, 0.864881, 0.889245, -1, -1, -1, 0.250986, 0.252093
3.876, 1, 5, 0.86486, 0.888809, -1, -1, -1, 0.25094, 0.252072
3.912, 1, 5, 0.864844, 0.888389, -1, -1, -1, 0.250895, 0.252052
3.946, 1, 5, 0.864854, 0.887983, -1, -1, -1, 0.25089, 0.252032
3.978, 1, 5, 0.864874, 0.887591, -1, -1, -1, 0.25089, 0.252012
4.012, 1, 5, 0.864887, 0.887213, -1, -1, -1, 0.250893, 0.251994
4.046, 1, 5, 0.864883, 0.886847, -1, -1, -1, 0.250907, 0.251976
4.08, 1, 5, 0.864886, 0.886493, -1, -1, -1, 0.250914, 0.251959
4.116, 1, 5, 0.864894, 0.88615, -1, -1, -1, 0.250917, 0.251942
4.15, 1, 5, 0.864847, 0.885817, -1, -1, -1, 0.250894, 0.251926
4.184, 1, 5, 0.864804, 0.885494, -1, -1, -1, 0.250873, 0.25191
4.218, 1, 5, 0.864761, 0.88518, -1, -1, -1, 0.250856, 0.251894
4.32, 1, 5, 0.864625, 0.884289, -1, -1, -1, 0.250688, 0.251845
4.354, 1, 5, 0.864461, 0.884005, -1, -1, -1, 0.250506, 0.251826
4.388, 1, 5, 0.8643, 0.883728, -1, -1, -1, 0.250341, 0.251805
4.424, 1, 5, 0.864148, 0.883456, -1, -1, -1, 0.250191, 0.251782
4.462, 1, 5, 0.863994, 0.883189, -1, -1, -1, 0.250059, 0.251759
4.49, 1, 5, 0.863849, 0.882928, -1, -1, -1, 0.249939, 0.251734
4.522, 1, 5, 0.863717, 0.882672, -1, -1, -1, 0.249822, 0.251709
4.562, 1, 5, 0.863596, 0.882421, -1, -1, -1, 0.249711, 0.251682
4.594, 1, 5, 0.863494, 0.882175, -1, -1, -1, 0.249612, 0.251655
4.628, 1, 5, 0.863451, 0.881935, -1, -1, -1, 0.249573, 0.251629
4.662, 1, 5, 0.863395, 0.8817, -1, -1, -1, 0.249543, 0.251602
4.698, 1, 5, 0.863372, 0.881471, -1, -1, -1, 0.249498, 0.251576
4.732, 1, 5, 0.863358, 0.881248, -1, -1, -1, 0.249446, 0.25155
4.878, 1, 5, 0.86275, 0.880392, -1, -1, -1, 0.248721, 0.251433
4.908, 1, 5, 0.862505, 0.880184, -1, -1, -1, 0.24847, 0.251399
4.942, 1, 5, 0.862369, 0.879979, -1, -1, -1, 0.248315, 0.251364
4.978, 1, 5, 0.86221, 0.879777, -1, -1, -1, 0.248125, 0.251327
5.016, 1, 5, 0.862041, 0.879578, -1, -1, -1, 0.247916, 0.251288
5.05, 1, 5, 0.861911, 0.879382, -1, -1, -1, 0.247761, 0.251249
5.084, 1, 5, 0.861793, 0.879188, -1, -1, -1, 0.247607, 0.251209
5.118, 1, 5, 0.861629, 0.878997, -1, -1, -1, 0.247439, 0.251168
5.156, 1, 5, 0.861537, 0.87881, -1, -1, -1, 0.24733, 0.251127
5.194, 1, 5, 0.861515, 0.878626, -1, -1, -1, 0.247286, 0.251086
5.232, 1, 5, 0.86148, 0.878445, -1, -1, -1, 0.247247, 0.251046
5.296, 1, 5, 0.86137, 0.878094, -1, -1, -1, 0.247183, 0.250966
5.338, 1, 5, 0.861333, 0.877923, -1, -1, -1, 0.247181, 0.250928
5.374, 1, 5, 0.861392, 0.877756, -1, -1, -1, 0.247222, 0.25089
