Stamp, Max volume, Current volume, Procentage
0.224043, 2988, 7.226, 0.00241834
0.328043, 2988, 7.226, 0.00241834
0.524043, 2988, 7.231, 0.00242001
1.02404, 2988, 7.272, 0.00243373
1.42404, 2988, 7.272, 0.00243373
1.82404, 2988, 7.272, 0.00243373
2.22404, 2988, 7.272, 0.00243373
2.52404, 2988, 7.272, 0.00243373
2.92404, 2988, 7.272, 0.00243373
3.32404, 2988, 7.272, 0.00243373
3.72404, 2988, 7.272, 0.00243373
4.12404, 2988, 7.273, 0.00243407
4.52404, 2988, 7.273, 0.00243407
4.92404, 2988, 7.273, 0.00243407
5.33004, 2988, 7.273, 0.00243407
5.82604, 2988, 7.289, 0.00243942
6.42404, 2988, 7.289, 0.00243942
6.92404, 2988, 7.294, 0.0024411
7.32604, 2988, 7.294, 0.0024411
7.82404, 2988, 7.294, 0.0024411
8.32404, 2988, 7.294, 0.0024411
8.82404, 2988, 7.294, 0.0024411
9.22404, 2988, 7.294, 0.0024411
9.62404, 2988, 7.294, 0.0024411
10.024, 2988, 7.294, 0.0024411
10.424, 2988, 7.294, 0.0024411
10.824, 2988, 7.294, 0.0024411
11.326, 2988, 7.294, 0.0024411
11.824, 2988, 7.294, 0.0024411
12.324, 2988, 7.294, 0.0024411
12.824, 2988, 7.294, 0.0024411
13.224, 2988, 7.294, 0.0024411
13.626, 2988, 7.294, 0.0024411
14.124, 2988, 7.294, 0.0024411
14.524, 2988, 7.294, 0.0024411
14.926, 2988, 7.294, 0.0024411
15.324, 2988, 7.294, 0.0024411
15.724, 2988, 7.294, 0.0024411
16.124, 2988, 7.294, 0.0024411
16.524, 2988, 7.294, 0.0024411
16.924, 2988, 7.3, 0.00244311
17.324, 2988, 7.304, 0.00244444
17.824, 2988, 7.304, 0.00244444
18.324, 2988, 7.304, 0.00244444
18.924, 2988, 7.304, 0.00244444
19.324, 2988, 7.304, 0.00244444
19.724, 2988, 7.304, 0.00244444
20.324, 2988, 7.304, 0.00244444
20.824, 2988, 7.304, 0.00244444
21.324, 2988, 7.304, 0.00244444
21.724, 2988, 7.304, 0.00244444
22.124, 2988, 7.304, 0.00244444
22.526, 2988, 7.304, 0.00244444
23.224, 2988, 7.304, 0.00244444
23.824, 2988, 7.304, 0.00244444
24.324, 2988, 7.304, 0.00244444
24.624, 2988, 7.304, 0.00244444
25.324, 2988, 7.304, 0.00244444
25.724, 2988, 7.304, 0.00244444
26.424, 2988, 7.304, 0.00244444
26.724, 2988, 7.304, 0.00244444
27.024, 2988, 7.304, 0.00244444
27.924, 2988, 7.304, 0.00244444
28.324, 2988, 7.304, 0.00244444
28.724, 2988, 7.304, 0.00244444
29.024, 2988, 7.304, 0.00244444
29.626, 2988, 7.304, 0.00244444
30.524, 2988, 7.304, 0.00244444
31.024, 2988, 7.304, 0.00244444
31.424, 2988, 7.304, 0.00244444
31.924, 2988, 7.304, 0.00244444
32.324, 2988, 7.304, 0.00244444
32.924, 2988, 7.304, 0.00244444
33.424, 2988, 7.304, 0.00244444
33.824, 2988, 7.304, 0.00244444
34.326, 2988, 7.304, 0.00244444
35.024, 2988, 7.304, 0.00244444
35.424, 2988, 7.304, 0.00244444
35.824, 2988, 7.304, 0.00244444
36.424, 2988, 7.304, 0.00244444
